ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
2.57.121.15,RO,100,2025-10-16T17:17:02+00:00
117.90.100.6,CN,100,2025-10-16T17:17:02+00:00
205.185.125.150,US,100,2025-10-16T17:17:02+00:00
80.94.93.176,RO,100,2025-10-16T17:17:02+00:00
89.200.227.78,PL,100,2025-10-16T17:17:02+00:00
198.44.136.252,US,100,2025-10-16T17:17:02+00:00
115.190.22.194,CN,100,2025-10-16T17:17:01+00:00
91.196.152.220,FR,100,2025-10-16T17:17:01+00:00
14.103.206.145,CN,100,2025-10-16T17:17:01+00:00
78.46.84.145,DE,100,2025-10-16T17:17:01+00:00
77.68.118.160,GB,100,2025-10-16T17:17:01+00:00
34.57.181.41,US,100,2025-10-16T17:17:01+00:00
172.200.228.35,US,100,2025-10-16T17:17:00+00:00
45.138.16.228,PL,100,2025-10-16T17:17:00+00:00
45.7.230.134,CL,100,2025-10-16T17:17:00+00:00
185.255.91.113,IR,100,2025-10-16T17:17:00+00:00
20.169.105.57,US,100,2025-10-16T17:17:00+00:00
194.102.104.191,MD,100,2025-10-16T17:17:00+00:00
134.209.36.11,US,100,2025-10-16T17:17:00+00:00
20.163.32.0,US,100,2025-10-16T17:17:00+00:00
121.204.171.142,CN,100,2025-10-16T17:17:00+00:00
20.64.104.164,US,100,2025-10-16T17:17:00+00:00
2.57.121.25,RO,100,2025-10-16T17:16:59+00:00
212.132.89.162,DE,100,2025-10-16T17:16:59+00:00
104.251.122.173,US,100,2025-10-16T17:16:59+00:00
194.226.49.149,RU,100,2025-10-16T17:16:59+00:00
91.196.152.122,FR,100,2025-10-16T17:16:59+00:00
27.112.79.123,ID,100,2025-10-16T17:16:58+00:00
109.122.251.245,IR,100,2025-10-16T17:16:58+00:00
79.124.40.138,BG,100,2025-10-16T17:16:58+00:00
185.233.3.95,KZ,100,2025-10-16T17:16:58+00:00
45.142.154.40,HK,100,2025-10-16T17:16:58+00:00
196.127.82.185,MA,100,2025-10-16T17:16:57+00:00
209.74.66.170,US,100,2025-10-16T17:16:57+00:00
80.82.77.144,NL,100,2025-10-16T17:16:57+00:00
45.61.187.53,US,100,2025-10-16T17:16:57+00:00
101.126.65.104,CN,100,2025-10-16T17:16:57+00:00
193.46.255.99,RO,100,2025-10-16T17:16:57+00:00
193.46.255.103,RO,100,2025-10-16T17:16:57+00:00
80.94.93.119,RO,100,2025-10-16T17:16:57+00:00
91.230.168.12,US,100,2025-10-16T17:16:57+00:00
81.30.162.18,UA,100,2025-10-16T17:16:57+00:00
39.100.183.18,CN,100,2025-10-16T17:16:56+00:00
34.58.124.191,US,100,2025-10-16T17:16:56+00:00
216.74.240.254,US,100,2025-10-16T17:16:56+00:00
44.222.81.115,US,100,2025-10-16T17:16:56+00:00
